TZSAZON_ID,AJTO,CIMTIP,CTELEP,EPULET,HATKEZD,HATVEGE,HAZSZ,IRSZ,KOZTJ,KOZTN,LEPCSOHAZ,ORSZ,PF,SZINT
1,,SZ,Budapest,,2007-10-20,3999-12-31,1-3,1055,05,Kossuth Lajos,,HU,,
1,,LE,Budapest,,2009-07-01,3999-12-31,,1358,,,,HU,1,
10,,SZ,Budapest,,2007-10-20,3999-12-31,13-15,1053,01,Reáltanoda,,HU,,
100,,SZ,Tatabánya,,2007-10-20,3999-12-31,4,2800,02,Komáromi,,HU,,
100,,LE,Tatabánya,,2009-07-01,3999-12-31,,2801,,,,HU,160,
1000,,SZ,Győrújbarát,,2007-10-20,2012-07-31,9,9081,02,Liszt Ferenc,,HU,,
1000,,SZ,Győrújbarát,,2012-08-01,3999-12-31,9,9081,01,Liszt Ferenc,,HU,,
10000,,SZ,Várgesztes,,2010-10-14,3999-12-31,47,2824,01,Arany János,,HU,,
10001,,SZ,Vác,,2010-10-18,3999-12-31,11,2600,05,Március 15.,,HU,,
10002,,SZ,Vác,,2010-10-18,3999-12-31,11,2600,05,Március 15.,,HU,,
10003,,SZ,Vác,,2010-10-18,3999-12-31,11,2600,05,Március 15.,,HU,,
10004,,SZ,Vác,,2010-10-18,3999-12-31,11,2600,05,Március 15.,,HU,,
10005,,SZ,Vác,,2010-10-18,3999-12-31,11,2600,05,Március 15.,,HU,,
10006,,SZ,Kisszekeres,,2010-10-13,3999-12-31,46a,4963,01,Kossuth,,HU,,
10007,,SZ,Somogyapáti,,2010-10-14,3999-12-31,81,7922,01,Fő,,HU,,
10008,,SZ,Érd,,2010-10-14,3999-12-31,1-3,2030,01,Alsó,,HU,,
10008,,LE,Érd,,2010-10-14,3999-12-31,,2030,,,,HU,31,
10009,,SZ,Patapoklosi,,2010-10-12,3999-12-31,50,7923,01,Rákóczi,,HU,,
1001,,SZ,Ikrény,,2007-10-20,3999-12-31,66,9141,02,Győri,,HU,,
10010,,SZ,Katádfa,,2010-10-18,3999-12-31,29,7914,01,Zrínyi,,HU,,
10011,,SZ,Végegyháza,,2010-10-15,3999-12-31,2,5811,02,Széchenyi,,HU,,
10012,,SZ,Szentdénes,,2010-10-18,3999-12-31,64,7913,01,Petőfi,,HU,,
10013,,SZ,Sajókaza,,2010-10-13,3999-12-31,2,3720,02,Petőfi Sándor,,HU,,
10014,,SZ,Albertirsa,,2010-10-15,3999-12-31,2,2730,01,Irsay Károly,,HU,,
10015,,SZ,Dövény,,2010-10-13,3999-12-31,14,3721,01,Rákóczi F.,,HU,,
10016,,SZ,Kéthely,,2010-10-14,3999-12-31,1,8713,01,Ady Endre,,HU,,
10017,,SZ,Lengyeltóti,,2010-10-18,3999-12-31,6,8693,01,Csokonai,,HU,,
10018,,SZ,Öregcsertő,,2011-01-01,3999-12-31,141,6311,01,Kossuth,,HU,,
10019,,SZ,Kisberény,,2010-10-18,3999-12-31,36,8693,01,Petőfi,,HU,,
1002,,SZ,Kajárpéc,,2007-10-20,3999-12-31,2,9123,01,Kossuth,,HU,,
