TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,REGI_PIR
10052,2011-10-15,3999-12-31,GONDOZÁSI KÖZPONT,787813,
10112,2011-01-01,3999-12-31,VÁROSGONDNOKSÁG ALSÓZSOLCA,438164,
10132,2011-01-01,3999-12-31,KÖRJEGYZŐSÉG PACSA,558183,
10154,2011-01-31,3999-12-31,NAGYDOROGI SZOCIÁLIS ALAPSZOLGÁLTATÁSI KÖZPONT,419417,
10165,2011-01-01,3999-12-31,SZÉKELY BERTALAN ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT,651921,
10166,2011-01-01,3999-12-31,SZÉKELY BERTALAN ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT,651921,
10172,2011-01-01,3999-12-31,FŐVÁROSI FÖLDHIVATAL,324843,
10172,2011-01-01,3999-12-31,KÖZÉP-MAGYARORSZÁGI REGIONÁLIS MUNKAÜGYI KÖZPONT,325851,
10172,2011-01-01,3999-12-31,KÖZÉP-MAGYARORSZÁGI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328863,
10172,2011-01-01,3999-12-31,KÖZÉP-MAGYARORSZÁGI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597287,
10172,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT KÖZÉP-MAGYARORSZÁGI REGIONÁLIS INTÉZETE,598680,
10172,2011-01-01,3999-12-31,BUDAPEST FŐVÁROS KÖZIGAZGATÁSI HIVATALA,775838,
10173,2011-01-01,3999-12-31,BARANYA MEGYEI FÖLDHIVATAL,324854,
10173,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325862,
10173,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328764,
10173,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597199,
10173,2011-01-01,3999-12-31,BARANYA MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598350,
10173,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598745,
10173,2011-01-01,3999-12-31,BARANYA MEGYEI KÖZIGAZGATÁSI HIVATAL,775717,
10174,2011-01-01,3999-12-31,BÁCS-KISKUN MEGYEI FÖLDHIVATAL,324865,
10174,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325884,
10174,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328786,
10174,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597210,
10174,2011-01-01,3999-12-31,BÁCS-KISKUN MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598361,
10174,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-ALFÖLDI REGIONÁLIS INTÉZETE,598701,
10174,2011-01-01,3999-12-31,BÁCS-KISKUN MEGYEI KÖZIGAZGATÁSI HIVATAL,775739,
10175,2011-01-01,3999-12-31,BÉKÉS MEGYEI FÖLDHIVATAL,324876,
10175,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325884,
10175,2011-01-01,3999-12-31,DÉL-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328786,
