TZSAZON_ID,NEV,PIR
12898,MAGYAR TUDOMÁNYOS AKADÉMIA ÜDÜLÉSI KÖZPONT,300234
12899,MAGYAR TUDOMÁNYOS AKADÉMIA ÜDÜLÉSI KÖZPONT,300234
12900,MAGYAR TUDOMÁNYOS AKADÉMIA ÜDÜLÉSI KÖZPONT,300234
12901,MAGYAR TUDOMÁNYOS AKADÉMIA ÜDÜLÉSI KÖZPONT,300234
12902,MAGYAR TUDOMÁNYOS AKADÉMIA  TERÜLETI AKADÉMIAI BIZOTTSÁGOK TITKÁRSÁGA,311805
12903,MTA KFKI ATOMENERGIA KUTATÓINTÉZET,327042
12904,MAGYAR TUDOMÁNYOS AKADÉMIA TERMÉSZETTUDOMÁNYI KUTATÓKÖZPONT,329497
12905,MAGYAR TUDOMÁNYOS AKADÉMIA CSILLAGÁSZATI ÉS FÖLDTUDOMÁNYI KUTATÓKÖZPONT,300322
12906,MAGYAR TUDOMÁNYOS AKADÉMIA CSILLAGÁSZATI ÉS FÖLDTUDOMÁNYI KUTATÓKÖZPONT,300322
12907,MAGYAR TUDOMÁNYOS AKADÉMIA AGRÁRTUDOMÁNYI KUTATÓKÖZPONT,300519
12908,MAGYAR TUDOMÁNYOS AKADÉMIA AGRÁRTUDOMÁNYI KUTATÓKÖZPONT,300519
12909,MAGYAR TUDOMÁNYOS AKADÉMIA ÖKOLÓGIAI KUTATÓKÖZPONT,300542
12910,MAGYAR TUDOMÁNYOS AKADÉMIA BÖLCSÉSZETTUDOMÁNYI KUTATÓKÖZPONT,300629
12911,MAGYAR TUDOMÁNYOS AKADÉMIA BÖLCSÉSZETTUDOMÁNYI KUTATÓKÖZPONT,300629
12912,MAGYAR TUDOMÁNYOS AKADÉMIA BÖLCSÉSZETTUDOMÁNYI KUTATÓKÖZPONT,300629
12913,MAGYAR TUDOMÁNYOS AKADÉMIA  KÖZGAZDASÁG- ÉS REGIONÁLIS TUDOMÁNYI KUTATÓKÖZPONT,300685
12914,MAGYAR TUDOMÁNYOS AKADÉMIA BÖLCSÉSZETTUDOMÁNYI KUTATÓKÖZPONT,300629
