TZSAZON_ID,MEGSZDAT
12898,2011-12-31
12899,2011-12-31
12900,2011-12-31
12901,2011-12-31
12902,2011-12-31
12903,2006-12-31
12904,2011-12-31
12905,2011-12-31
12906,2011-12-31
12907,2011-12-31
12908,2011-12-31
12909,2011-12-31
12910,2011-12-31
12911,2011-12-31
12912,2011-12-31
12913,2011-12-31
12914,2011-12-31
12915,2011-12-31
12916,2011-12-31
12917,2011-12-31
12918,2011-12-31
12919,2011-12-31
12920,2011-12-31
12921,2004-12-31
12922,2004-12-31
12923,2004-12-31
12924,2004-12-31
12925,2004-12-31
12926,2004-12-31
12927,2004-12-31
12928,2004-12-31
12929,2004-12-31
12930,2004-12-31
12931,2004-12-31
12932,2004-12-31
12933,2004-12-31
12934,2004-12-31
12935,2004-12-31
12936,2004-12-31
12937,2004-12-31
12938,2004-12-31
12939,2004-07-31
12940,2006-01-01
12941,2010-05-28
12942,2010-12-31
12943,2006-01-01
12944,2012-03-31
12945,2007-01-01
12946,2007-01-01
12947,2007-08-31
12948,2008-08-31
12949,2008-08-31
12950,2008-08-31
12951,2008-08-31
12952,2007-01-01
12953,2007-01-01
12954,2006-01-01
12955,2008-03-15
12956,2011-12-31
12957,2010-12-31
12958,2008-08-31
12959,2007-06-30
12960,2005-12-31
12961,2010-05-28
12962,2004-03-31
12963,2007-08-31
12964,2008-01-01
12965,2007-09-07
12966,2005-01-01
12967,2008-03-31
12968,2008-08-31
12969,2008-09-30
12970,2004-10-01
12971,2013-03-31
12972,2005-01-31
12973,2011-04-30
12974,2010-05-28
12975,2006-12-31
12976,2005-01-01
12977,2005-01-01
12978,2006-12-31
12979,2011-12-31
12980,2007-03-01
12981,2008-09-30
12982,2005-01-01
12983,2008-08-31
12984,2006-07-01
12985,2011-12-31
12986,2006-12-31
12987,2011-12-31
12988,2011-04-30
12989,2008-08-31
12990,2008-08-31
12991,2008-08-31
12992,2007-01-01
12993,2007-01-01
12994,2007-01-01
12995,2007-01-01
12996,2007-01-01
12997,2007-01-01
12998,2007-01-01
12999,2007-01-01
13000,2007-01-01
13001,2007-01-01
13002,2007-01-01
13003,2007-01-01
13004,2007-01-01
13005,2007-01-01
13006,2007-01-01
13007,2007-01-01
13008,2007-01-01
13009,2007-01-01
13010,2007-01-01
13011,2007-01-01
13012,2006-01-01
13013,2007-01-01
13014,2007-01-01
13015,2007-01-01
13016,2007-01-01
13017,2007-01-01
13018,2007-01-01
13019,2007-01-01
13020,2007-01-01
13021,2007-01-01
13022,2007-01-01
13023,2007-01-01
13024,2007-01-01
13025,2007-01-01
13026,2007-01-01
13027,2007-01-01
13028,2007-01-01
13029,2007-01-01
13030,2007-01-01
13031,2007-01-01
13032,2007-01-01
13033,2009-01-01
13034,2012-08-31
13035,2007-01-01
13036,2007-08-31
13037,2007-01-01
13038,2006-12-31
13039,2011-12-31
13040,2007-08-31
13041,2011-12-31
13042,2006-12-31
13043,2007-01-01
13044,2009-12-31
13045,2011-12-31
13046,2010-12-31
13047,2010-12-31
13048,2010-12-31
13049,2010-12-31
13050,2010-12-31
13051,2010-12-31
13052,2010-12-31
13053,2010-12-31
13054,2010-12-31
13055,2010-12-31
13056,2010-12-31
13057,2010-12-31
13058,2010-12-31
13059,2010-12-31
13060,2010-12-31
13061,2010-12-31
13062,2010-12-31
13063,2010-12-31
13064,2010-12-31
13065,2010-12-31
13066,2011-06-30
13067,2007-01-01
13068,2011-12-31
13069,2006-12-31
13070,2007-01-31
13071,2006-12-31
13072,2005-12-31
13073,2006-12-31
13074,2006-12-31
13075,2006-12-31
13076,2006-12-31
13077,2006-12-31
13078,2006-12-31
13079,2006-12-31
13080,2006-12-31
13081,2006-12-31
13082,2006-12-31
13083,2006-12-31
13084,2006-12-31
13085,2006-12-31
13086,2006-12-31
13087,2006-12-31
13088,2006-12-31
13089,2006-12-31
13090,2006-12-31
13091,2006-12-31
13092,2006-12-31
13093,2006-08-31
13094,2006-08-31
13095,2007-12-31
13096,2010-12-31
13097,2010-12-31
13098,2006-12-31
13099,2010-12-31
13100,2010-12-31
13101,2006-12-31
13102,2010-12-31
13103,2006-12-31
13104,2006-12-31
13105,2006-12-31
13106,2006-12-31
13107,2006-12-31
13108,2006-12-31
13109,2006-12-31
13110,2010-12-31
13111,2006-12-31
13112,2006-12-31
13113,2010-12-31
13114,2006-12-31
13115,2006-12-31
13116,2007-01-01
13117,2007-01-01
13118,2007-01-01
13119,2007-01-01
13120,2007-01-01
13121,2007-01-01
13122,2007-01-01
13123,2007-01-01
13124,2007-01-01
13125,2007-01-01
13126,2007-01-01
13127,2007-01-01
13128,2007-01-01
13129,2007-01-01
13130,2007-01-01
13131,2007-01-01
13132,2007-01-01
13133,2007-01-01
13134,2007-01-01
13135,2007-01-01
13136,2007-01-01
13137,2007-01-01
13138,2007-01-01
13139,2007-01-01
13140,2007-01-01
13141,2007-01-01
13142,2007-01-01
13143,2007-01-01
13144,2007-01-01
13145,2007-01-01
13146,2007-01-01
13147,2007-01-01
13148,2007-01-01
13149,2007-01-01
13150,2007-01-01
13151,2007-01-01
13152,2007-01-01
13153,2007-01-01
13154,2007-01-01
13155,2008-12-31
13156,2007-01-01
13157,2006-12-31
13158,2004-12-31
13159,2004-01-15
13160,2011-12-31
13161,2011-12-31
13162,2012-08-15
13163,2005-12-31
13164,2011-06-30
13165,2011-06-30
13166,2004-11-30
13167,2004-11-30
13168,2007-01-01
13169,2007-01-01
13170,2006-12-31
13171,2011-06-30
13172,2007-04-01
13173,2006-01-01
13174,2011-06-30
13175,2011-06-30
13176,2012-08-15
13177,2006-12-31
13178,2006-12-31
13179,2006-12-31
13180,2006-12-31
13181,2006-12-31
13182,2006-12-31
13183,2006-12-31
13184,2006-12-31
13185,2006-09-01
13186,2010-07-31
13187,2012-11-30
13188,2008-12-31
13189,2006-12-31
13190,2006-12-31
13191,2006-12-31
13192,2006-12-31
13193,2006-12-31
13194,2006-12-31
13195,2010-12-31
13196,2006-12-31
13197,2010-12-31
13198,2006-12-31
13199,2010-12-31
13200,2006-12-31
13201,2006-12-31
13202,2010-12-31
13203,2006-12-31
13204,2006-12-31
13205,2010-12-31
13206,2010-12-31
13207,2010-12-31
13208,2006-12-31
13209,2011-06-30
13210,2013-04-03
13211,2011-06-30
13212,2011-12-31
13213,2006-12-31
13214,2006-12-31
13215,2010-10-10
13216,2008-10-30
13217,2007-03-01
13218,2008-03-15
13219,2008-03-15
13220,2005-10-31
13221,2006-07-01
13222,2011-12-31
13223,2011-04-30
13224,2011-12-31
13225,2006-01-01
13226,2006-07-01
13227,2007-01-01
13228,2008-01-01
13229,2009-12-31
13230,2008-12-31
13231,2013-09-30
13232,2009-12-31
13233,2008-08-31
13234,2005-01-01
13235,2011-12-31
13236,2011-12-31
13237,2005-07-01
13238,2006-12-31
13239,2009-12-31
13240,2004-10-31
13241,2006-02-28
13242,2013-03-31
13243,2013-03-31
13244,2008-08-31
13245,2008-08-31
13246,2009-12-31
13247,2011-04-15
13248,2012-09-30
13249,2005-12-31
13250,2006-12-31
13251,2013-03-31
13252,2013-01-31
13253,2005-12-31
13254,2006-12-31
13255,2013-02-28
13256,2012-12-31
13257,2007-12-31
13258,2009-12-31
13259,2011-12-31
13260,2013-02-28
13261,2012-12-31
13262,2007-06-30
13263,2009-06-30
13264,2012-12-31
13265,2008-06-30
13266,2012-12-31
13267,2012-12-31
13268,2005-07-01
13269,2004-01-01
13270,2012-12-17
13271,2010-03-31
13272,2008-06-30
13273,2013-03-31
13274,2009-06-30
13275,2005-07-01
13276,2005-06-30
13277,2011-04-15
13278,2009-06-30
13279,2012-12-31
13280,2009-12-31
13281,2012-12-31
13282,2012-12-31
13283,2012-12-31
13284,2012-12-31
13285,2007-08-31
13286,2013-02-28
13287,2012-12-31
13288,2012-12-31
13289,2012-12-31
13290,2012-12-31
13291,2012-12-31
13292,2004-01-01
13293,2004-01-01
13294,2012-12-31
13295,2012-12-31
13296,2013-02-28
13297,2012-12-31
13298,2006-12-31
13299,2012-12-31
13300,2012-12-31
13301,2012-12-31
13302,2013-01-31
13303,2012-12-31
13304,2013-02-28
13305,2012-12-31
13306,2012-12-31
13307,2012-12-31
13308,2007-12-31
13309,2012-12-31
13310,2012-12-31
13311,2011-12-31
13312,2012-12-31
13313,2012-12-31
13314,2012-12-31
13315,2013-02-28
13316,2012-12-31
13317,2013-01-31
13318,2013-02-28
