TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
1,2009-04-29,3999-12-31,ORSZÁGGYŰLÉS,736240,1
10,2009-01-01,2009-06-30,MAGYAR TUDOMÁNYOS AKADÉMIA TITKÁRSÁGA,300201,1
10,2009-07-01,3999-12-31,MAGYAR TUDOMÁNYOS AKADÉMIA,736525,1
10,2009-01-01,2009-06-30,MAGYAR TUDOMÁNYOS AKADÉMIA TITKÁRSÁGA,300201,4
100,2009-07-01,3999-12-31,ORSZÁGGYŰLÉS,736240,1
1000,2009-01-01,3999-12-31,GYŐRÚJBARÁT KÖZSÉG ÖNKORMÁNYZATA,727772,1
10018,2011-01-01,2011-12-31,HOMOKMÉGY KÖZSÉGI ÖNKORMÁNYZAT,337430,1
10018,2011-01-01,3999-12-31,ÖREGCSERTŐ KÖZSÉGI ÖNKORMÁNYZAT,337463,1
10018,2011-01-01,3999-12-31,SZAKMÁR KÖZSÉG ÖNKORMÁNYZATA,337474,1
10018,2011-01-01,3999-12-31,HARTA NAGYKÖZSÉG ÖNKORMÁNYZATA,724463,1
10018,2011-01-01,3999-12-31,ÚJTELEK KÖZSÉG ÖNKORMÁNYZATA,341727,1
10018,2011-01-01,3999-12-31,DUNAPATAJ NAGYKÖZSÉG ÖNKORMÁNYZATA,724430,1
10018,2011-01-01,3999-12-31,DUNATETÉTLEN KÖZSÉG ÖNKORMÁNYZATA,341684,1
10018,2011-01-01,2011-12-31,HOMOKMÉGY KÖZSÉGI ÖNKORMÁNYZAT,337430,4
10018,2011-01-01,2013-11-12,ÖREGCSERTŐ KÖZSÉGI ÖNKORMÁNYZAT,337463,4
10018,2011-01-01,2013-11-12,SZAKMÁR KÖZSÉG ÖNKORMÁNYZATA,337474,4
10018,2011-01-01,2013-11-12,DUNATETÉTLEN KÖZSÉG ÖNKORMÁNYZATA,341684,4
10018,2011-01-01,2013-11-12,ÚJTELEK KÖZSÉG ÖNKORMÁNYZATA,341727,4
10018,2011-01-01,2013-11-12,DUNAPATAJ NAGYKÖZSÉG ÖNKORMÁNYZATA,724430,4
10018,2011-01-01,2013-11-12,HARTA NAGYKÖZSÉG ÖNKORMÁNYZATA,724463,4
10018,2013-11-13,3999-12-31,TÉRSÉGI CSALÁDSEGÍTŐ ÉS GYERMEKJÓLÉTI SZOLGÁLAT INTÉZMÉNYFENNTARTÓ TÁRSULÁS,823083,4
1004,2009-01-01,3999-12-31,KORONCÓ KÖZSÉG ÖNKORMÁNYZATA,727804,1
1004,2009-01-01,2009-06-30,KORONCÓ KÖZSÉGI ÖNKORMÁNYZAT,727804,4
10046,2010-11-26,3999-12-31,NYÍRKÉRCS KÖZSÉG ÖNKORMÁNYZATA,443315,1
10046,2010-11-26,3999-12-31,RAMOCSAHÁZA KÖZSÉG ÖNKORMÁNYZATA,442187,1
10047,2010-12-01,3999-12-31,RAMOCSAHÁZA-NYÍRKÉRCS SZOCIÁLIS TÁRSULÁS,787725,1
10047,2010-12-01,3999-12-31,RAMOCSAHÁZA-NYÍRKÉRCS SZOCIÁLIS TÁRSULÁS,787725,4
1005,2009-01-01,3999-12-31,NYÚL KÖZSÉGI ÖNKORMÁNYZAT,727815,1
1005,2009-01-01,2009-06-30,NYÚL KÖZSÉGI ÖNKORMÁNYZAT,727815,4
10052,2010-12-01,3999-12-31,HAJDÚBAGOS KÖZSÉG ÖNKORMÁNYZATA,728780,1
10052,2010-12-01,3999-12-31,HAJDÚBAGOS KÖZSÉG ÖNKORMÁNYZATA,728780,4
1006,2009-01-01,3999-12-31,ÖTTEVÉNY KÖZSÉG ÖNKORMÁNYZATA,727826,1
10062,2010-11-29,3999-12-31,RÖSZKE KÖZSÉG ÖNKORMÁNYZATA,726719,1
10062,2010-11-29,3999-12-31,DOMASZÉK KÖZSÉGI ÖNKORMÁNYZAT,726544,1
10077,2010-11-26,3999-12-31,TAKTASZADA KÖZSÉG ÖNKORMÁNYZATA,726412,1
10077,2010-11-26,3999-12-31,TAKTAHARKÁNY NAGYKÖZSÉG ÖNKORMÁNYZATA,726401,1
1008,2009-01-01,3999-12-31,RÁBAPATONA KÖZSÉG ÖNKORMÁNYZATA,727848,1
1008,2009-01-01,2009-06-30,RÁBAPATONA KÖZSÉGI ÖNKORMÁNYZAT,727848,4
10089,2011-01-01,3999-12-31,KISNAMÉNY KÖZSÉG ÖNKORMÁNYZATA,442615,1
10089,2011-01-01,3999-12-31,KISNAMÉNY KÖZSÉG ÖNKORMÁNYZATA,442615,4
101,2009-07-01,3999-12-31,ORSZÁGGYŰLÉS,736240,1
1010,2009-01-01,3999-12-31,PANNONHALMA VÁROS ÖNKORMÁNYZATA,727871,1
1010,2009-01-01,2009-06-30,PANNONHALMA VÁROS ÖNKORMÁNYZATA,727871,4
10112,2011-01-01,3999-12-31,ALSÓZSOLCA VÁROS ÖNKORMÁNYZATA,725910,1
10112,2011-01-01,3999-12-31,ALSÓZSOLCA VÁROS ÖNKORMÁNYZATA,725910,4
10114,2010-12-08,3999-12-31,ETE KÖZSÉG ÖNKORMÁNYZATA,387062,1
10114,2010-12-08,3999-12-31,TÁRKÁNY KÖZSÉG ÖNKORMÁNYZATA,387381,1
10114,2010-12-08,3999-12-31,CSÉP KÖZSÉG ÖNKORMÁNYZATA,387336,1
10127,2010-11-17,3999-12-31,KISLÉTA KÖZSÉG ÖNKORMÁNYZATA,734994,1
10127,2010-11-17,3999-12-31,NYÍRBOGÁT NAGYKÖZSÉG ÖNKORMÁNYZATA,732109,1
10132,2011-01-01,3999-12-31,PACSA VÁROS ÖNKORMÁNYZATA,432348,1
10154,2011-01-31,3999-12-31,PAKSI TÖBBCÉLÚ KISTÉRSÉGI TÁRSULÁS,419297,1
10154,2011-01-31,3999-12-31,PAKSI TÖBBCÉLÚ KISTÉRSÉGI TÁRSULÁS,419297,4
10165,2011-01-01,3999-12-31,SZADA KÖZSÉG ÖNKORMÁNYZATA,730545,1
10165,2011-01-01,3999-12-31,SZADA KÖZSÉG ÖNKORMÁNYZATA,730545,4
10166,2011-01-01,3999-12-31,SZADA KÖZSÉG ÖNKORMÁNYZATA,730545,1
10166,2011-01-01,3999-12-31,SZADA KÖZSÉG ÖNKORMÁNYZATA,730545,4
10169,2011-01-01,3999-12-31,KORMÁNY,736239,1
10169,2011-01-01,2013-03-29,NEMZETGAZDASÁGI  MINISZTÉRIUM,303390,4
1017,2009-01-01,3999-12-31,FERTŐD VÁROS ÖNKORMÁNYZATA,727981,1
10171,2011-01-01,3999-12-31,BELÜGYMINISZTÉRIUM,311607,1
10172,2011-01-01,3999-12-31,KORMÁNY,736239,1
10173,2011-01-01,3999-12-31,KORMÁNY,736239,1
10174,2011-01-01,3999-12-31,KORMÁNY,736239,1
10175,2011-01-01,3999-12-31,KORMÁNY,736239,1
10176,2011-01-01,3999-12-31,KORMÁNY,736239,1
10177,2011-01-01,3999-12-31,KORMÁNY,736239,1
10178,2011-01-01,3999-12-31,KORMÁNY,736239,1
10179,2011-01-01,3999-12-31,KORMÁNY,736239,1
1018,2009-01-01,3999-12-31,FERTŐSZENTMIKLÓS VÁROSI ÖNKORMÁNYZAT,727992,1
1018,2009-01-01,2009-06-30,FERTŐSZENTMIKLÓS VÁROSI ÖNKORMÁNYZAT,727992,4
10180,2011-01-01,3999-12-31,KORMÁNY,736239,1
10181,2011-01-01,3999-12-31,KORMÁNY,736239,1
10182,2011-01-01,3999-12-31,KORMÁNY,736239,1
10183,2011-01-01,3999-12-31,KORMÁNY,736239,1
10184,2011-01-01,3999-12-31,KORMÁNY,736239,1
10185,2011-01-01,3999-12-31,KORMÁNY,736239,1
10186,2011-01-01,3999-12-31,KORMÁNY,736239,1
10187,2011-01-01,3999-12-31,KORMÁNY,736239,1
10188,2011-01-01,3999-12-31,KORMÁNY,736239,1
10189,2011-01-01,3999-12-31,KORMÁNY,736239,1
10190,2011-01-01,3999-12-31,KORMÁNY,736239,1
10191,2011-01-01,3999-12-31,KORMÁNY,736239,1
10194,2011-01-01,3999-12-31,ORSZÁGGYŰLÉS,736240,1
10195,2011-01-01,3999-12-31,ORSZÁGGYŰLÉS,736240,1
10198,2010-08-17,3999-12-31,ABAÚJVÁR KÖZSÉG ÖNKORMÁNYZATA,348265,1
10198,2010-08-17,3999-12-31,BAKTAKÉK KÖZSÉGI ÖNKORMÁNYZAT,348298,1
10198,2010-08-17,3999-12-31,BOLDOGKŐVÁRALJA KÖZSÉGI ÖNKORMÁNYZAT,348308,1
10198,2010-08-17,3999-12-31,FELSŐVADÁSZ KÖZSÉGI ÖNKORMÁNYZAT,348320,1
10198,2010-08-17,3999-12-31,FORRÓ KÖZSÉGI ÖNKORMÁNYZAT,348331,1
10198,2010-08-17,3999-12-31,HERNÁDKÉRCS KÖZSÉG ÖNKORMÁNYZATA,348364,1
10198,2010-08-17,3999-12-31,KRASZNOKVAJDA KÖZSÉG ÖNKORMÁNYZATA,348418,1
10198,2010-08-17,3999-12-31,NOVAJIDRÁNY KÖZSÉG ÖNKORMÁNYZATA,348430,1
