TZSAZON_ID,HATKEZD,HATVEGE,NEV
1,2007-10-20,3999-12-31,ORSZÁGGYŰLÉS HIVATALA
10,2007-10-20,2008-05-14,MTA RÉNYI ALFRÉD MATEMATIKAI KUTATÓINTÉZET
10,2008-05-15,3999-12-31,MAGYAR TUDOMÁNYOS AKADÉMIA RÉNYI ALFRÉD MATEMATIKAI KUTATÓINTÉZET
100,2007-10-20,2011-12-31,KOMÁROM-ESZTERGOM MEGYEI BÍRÓSÁG
100,2012-01-01,3999-12-31,TATABÁNYAI TÖRVÉNYSZÉK
1000,2007-10-20,2012-07-31,GYÖRÚJBARÁT KÖZSÉG POLGÁRMESTERI HIVATALA
1000,2012-08-01,3999-12-31,GYÖRÚJBARÁT KÖZSÉG ÖNKORMÁNYZATÁNAK POLGÁRMESTERI HIVATALA
10000,2010-10-14,2012-01-30,NÉMET KISEBBSÉGI ÖNKORMÁNYZAT VÁRGESZTES
10000,2012-01-31,3999-12-31,NÉMET NEMZETISÉGI ÖNKORMÁNYZAT VÁRGESZTES
10001,2010-10-18,2011-12-31,UKRÁN KISEBBSÉGI ÖNKORMÁNYZAT
10001,2012-01-01,3999-12-31,VÁCI UKRÁN NEMZETISÉGI ÖNKORMÁNYZAT
10002,2010-10-18,2011-12-31,VÁCI RUSZIN KISEBBSÉGI ÖNKORMÁNYZAT
10002,2012-01-01,3999-12-31,VÁCI RUSZIN NEMZETISÉGI ÖNKORMÁNYZAT
10003,2010-10-18,2011-12-31,CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10003,2012-01-01,3999-12-31,VÁCI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10004,2010-10-18,2011-12-31,VÁCI SZLOVÁK KISEBBSÉGI ÖNKORMÁNYZAT
10004,2012-01-01,3999-12-31,VÁCI SZLOVÁK NEMZETISÉGI ÖNKORMÁNYZAT
10005,2010-10-18,2011-12-31,GÖRÖG KISEBBSÉGI ÖNKORMÁNYZAT
10005,2012-01-01,3999-12-31,VÁCI GÖRÖG NEMZETISÉGI ÖNKORMÁNYZAT
10006,2010-10-13,2012-01-29,TELEPÜLÉSI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT KISSZEKERES
10006,2012-01-30,3999-12-31,KISSZEKERES KÖZSÉGI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10007,2010-10-14,2011-12-31,SOMOGYAPÁTI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10007,2012-01-01,3999-12-31,SOMOGYAPÁTI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10008,2010-10-14,2011-12-31,ÉRD VÁROS HORVÁT ÖNKORMÁNYZATA
10008,2012-01-01,3999-12-31,ÉRDI HORVÁT ÖNKORMÁNYZAT
10009,2010-10-12,2011-12-31,PATAPOKLOSI ROMA KISEBBSÉGI ÖNKORMÁNYZAT
10009,2012-01-01,3999-12-31,PATAPOKLOSI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1001,2007-10-20,2008-12-31,IKRÉNY KÖZSÉGI ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA
1001,2009-01-01,3999-12-31,IKRÉNY KÖZSÉGI ÖNKORMÁNYZAT
10010,2010-10-18,2011-12-31,CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT KATÁDFA KÖZSÉG
10010,2012-01-01,3999-12-31,KATÁDFAI CIGÁNY NEMZETISÉGI ÖNKORMÁNYZAT
10011,2010-10-15,2012-06-30,VÉGEGYHÁZA KÖZSÉG ROMÁN KISEBBSÉGI ÖNKORMÁNYZAT
10011,2012-07-01,3999-12-31,VÉGEGYHÁZA KÖZSÉG ROMÁN NEMZETISÉGI ÖNKORMÁNYZAT
10012,2010-10-18,2011-12-31,CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT SZENTDÉNES
10012,2012-01-01,3999-12-31,SZENTDÉNESI CIGÁNY NEMZETISÉGI ÖNKORMÁNYZAT
10013,2010-10-13,2011-12-31,SAJÓKAZA KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10013,2012-01-01,3999-12-31,SAJÓKAZA KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10014,2010-10-15,2011-12-31,ALBERTIRSA VÁROS CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10014,2012-01-01,3999-12-31,ALBERTIRSA VÁROS ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10015,2010-10-13,2012-02-07,DÖVÉNY KÖZSÉGI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10015,2012-02-08,3999-12-31,DÖVÉNY ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10016,2010-10-14,2011-12-31,KÉTHELY KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10016,2012-01-01,3999-12-31,KÉTHELY KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10017,2010-10-18,2011-12-31,LENGYELTÓTI VÁROS CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10017,2012-01-01,3999-12-31,LENGYELTÓTI VÁROSI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10018,2011-01-01,2013-11-12,TÉRSÉGI CSALÁDSEGÍTŐ ÉS GYERMEKJÓLÉTI SZOLGÁLAT
10018,2013-11-13,3999-12-31,TÉRSÉGI CSALÁDSEGÍTŐ- ÉS GYERMEKJÓLÉTI SZOLGÁLAT
10019,2010-10-18,2011-12-31,KISBERÉNY KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10019,2012-01-01,3999-12-31,KISBERÉNY KÖZSÉGI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1002,2007-10-20,3999-12-31,KAJÁRPÉC KÖZSÉGI ÖNKORMÁNYZAT
10020,2010-10-14,2012-04-19,NÉMET KISEBBSÉGI ÖNKORMÁNYZAT
10020,2012-04-20,3999-12-31,NÉMET NEMZETISÉGI ÖNKORMÁNYZAT GYERMELY
10021,2007-10-20,2012-01-23,SZABOLCSVERESMART CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10021,2012-01-24,3999-12-31,SZABOLCSVERESMARTI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10022,2010-10-14,2011-12-31,NÉMET KISEBBSÉGI ÖNKORMÁNYZAT
10022,2012-01-01,3999-12-31,BAKONYSÁRKÁNYI NÉMET NEMZETISÉGI ÖNKORMÁNYZAT
10023,2010-10-22,2011-12-31,ESZTERGOMI SZLOVÁK KISEBBSÉGI ÖNKORMÁNYZAT
10023,2012-01-01,3999-12-31,ESZTERGOMI SZLOVÁK NEMZETISÉGI ÖNKORMÁNYZAT
10024,2010-10-17,2011-12-31,ESZTERGOMI RUSZIN KISEBBSÉGI ÖNKORMÁNYZAT
10024,2012-01-01,3999-12-31,RUSZIN NEMZETISÉGI ÖNKORMÁNYZAT ESZTERGOM
10025,2010-10-17,2011-12-31,ESZTERGOMI NÉMET KISEBBSÉGI ÖNKORMÁNYZAT
10025,2012-01-01,3999-12-31,NÉMET NEMZETISÉGI ÖNKORMÁNYZAT ESZTERGOM
10026,2010-10-15,2011-12-31,TENGŐD KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10026,2012-01-01,3999-12-31,TENGŐDI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10027,2010-10-15,2012-03-12,ESZTERGOMI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10027,2012-03-13,3999-12-31,ESZTERGOMI CIGÁNY NEMZETISÉGI ÖNKORMÁNYZAT
10028,2007-10-20,2012-01-31,NYÍRKÁTA KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10028,2012-02-01,3999-12-31,NYÍRKÁTA KÖZSÉG ROMA NEMZETISÉGI  ÖNKORMÁNYZATA
10029,2010-10-18,2011-12-31,SZENTAI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10029,2012-01-01,3999-12-31,SZENTAI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1003,2007-10-20,3999-12-31,KISBAJCS KÖZSÉG ÖNKORMÁNYZATA
10030,2010-10-18,2011-12-31,ESZTERGOMI LENGYEL KISEBBSÉGI ÖNKORMÁNYZAT
10030,2012-01-01,3999-12-31,ESZTERGOMI LENGYEL NEMZETISÉGI ÖNKORMÁNYZAT
10031,2010-10-15,2011-12-31,OROSZLÁNYI SZLOVÁK KISEBBSÉGI ÖNKORMÁNYZAT
10031,2012-01-01,3999-12-31,OROSZLÁNYI SZLOVÁK NEMZETISÉGI ÖNKORMÁNYZAT
10032,2010-10-18,2011-12-31,VÁMOSÚJFALU KÖZSÉG RUSZIN KISEBBSÉGI ÖNKORMÁNYZAT
10032,2012-01-01,3999-12-31,VÁMOSÚJFALUI RUSZIN NEMZETISÉGI ÖNKORMÁNYZAT
10033,2010-10-18,2011-12-31,KISBÉR VÁROS CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10033,2012-01-01,3999-12-31,KISBÉR VÁROS ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10034,2010-10-14,2012-01-30,GARADNAI RUSZIN KISEBBSÉGI ÖNKORMÁNYZAT
10034,2012-01-31,3999-12-31,GARADNAI RUSZIN NEMZETISÉGI ÖNKORMÁNYZAT
10035,2010-10-15,2011-12-31,OROSZLÁNYI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10035,2012-01-01,3999-12-31,OROSZLÁNYI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10036,2010-10-18,2011-12-31,TISZAKARÁD KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10036,2012-01-01,3999-12-31,TISZAKARÁD KÖZSÉGI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10037,2010-10-13,2011-12-31,CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT DUNASZEKCSŐ
10037,2012-01-01,3999-12-31,DUNASZEKCSŐI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10038,2010-10-12,2011-12-31,NÉMET NEMZETISÉGI ÖNKORMÁNYZAT
10038,2012-01-01,3999-12-31,BÁRI NÉMET NEMZETISÉGI ÖNKORMÁNYZAT
10039,2007-10-20,2011-03-23,KOMÁROM-ESZTERGOM MEGYEI NÉMET KISEBBSÉGI ÖNKORMÁNYZAT
10039,2011-03-24,2012-03-05,KOMÁROM-ESZTERGOM MEGYEI NÉMET TERÜLETI KISEBBSÉGI ÖNKORMÁNYZAT
10039,2012-03-06,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI NÉMETEK ÖNKORMÁNYZATA
1004,2007-10-20,2009-06-30,KORONCÓ KÖZSÉGI ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA
1004,2009-07-01,3999-12-31,KORONCÓ KÖZSÉG ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA
10040,2010-10-15,2011-12-31,SZALONNA KÖZSÉG ROMÁN KISEBBSÉGI ÖNKORMÁNYZAT
10040,2012-01-01,3999-12-31,SZALONNA KÖZSÉG ROMÁN NEMZETISÉGI ÖNKORMÁNYZAT
10041,2010-10-14,2011-12-31,SOMOGYHATVANI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10041,2012-01-01,3999-12-31,SOMOGYHATVANI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10042,2010-10-20,2012-01-31,ÁCS VÁROS CIGÁNY KISEBBSÉGI  ÖNKORMÁNYZAT
10042,2012-02-01,3999-12-31,ÁCS VÁROS ROMA NEMZETISÉGI  ÖNKORMÁNYZAT
10043,2007-10-20,2011-03-23,KOMÁROM-ESZTERGOM MEGYEI SZLOVÁK ÖNKORMÁNYZAT
10043,2011-03-24,2012-03-08,KOMÁROM-ESZTERGOM MEGYEI SZLOVÁK TERÜLETI KISEBBSÉGI ÖNKORMÁNYZAT
10043,2012-03-09,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI SZLOVÁK ÖNKORMÁNYZAT
10044,2010-10-11,2011-12-31,SZALONNA KÖZSÉG LENGYEL KISEBBSÉGI ÖNKORMÁNYZAT
10044,2012-01-01,3999-12-31,SZALONNA KÖZSÉG LENGYEL NEMZETISÉGI ÖNKORMÁNYZAT
10045,2010-10-13,2011-12-31,ALSÓSZUHA KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10045,2012-01-01,3999-12-31,ALSÓSZUHA ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10046,2010-11-26,3999-12-31,RAMOCSAHÁZA-NYÍRKÉRCS SZOCIÁLIS TÁRSULÁS
10047,2010-12-01,3999-12-31,NYÍRSÉGI NAPFÉNY IDŐSEK OTTHONA
10048,2010-10-03,2011-12-31,KARANCSSÁG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10048,2012-01-01,3999-12-31,KARANCSSÁG ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10049,2010-10-03,2011-12-31,SÁGÚJFALU CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10049,2012-01-01,3999-12-31,SÁGÚJFALU ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1005,2007-10-20,2013-05-21,POLGÁRMESTERI HIVATAL NYÚL
1005,2013-05-22,3999-12-31,NYÚLI POLGÁRMESTERI HIVATAL
10050,2010-10-03,2011-12-31,BERKENYEI NÉMET KISEBBSÉGI ÖNKORMÁNYZAT
10050,2012-01-01,3999-12-31,BERKENYEI NÉMET NEMZETISÉGI ÖNKORMÁNYZAT
10051,2010-10-14,2011-12-31,NÉMET KISEBBSÉGI ÖNKORMÁNYZAT KURD
10051,2012-01-01,3999-12-31,NÉMET NEMZETISÉGI ÖNKORMÁNYZAT KURD
10052,2010-12-01,2011-10-13,IDŐSEK OTTHONA
10052,2011-10-14,3999-12-31,IDŐSEK OTTHONA HAJDÚBAGOS
10053,2010-10-15,2011-12-31,DOMBÓVÁR VÁROS HORVÁT KISEBBSÉGI ÖNKORMÁNYZATA
10053,2012-01-01,3999-12-31,DOMBÓVÁRI  HORVÁT NEMZETISÉGI ÖNKORMÁNYZAT
10054,2010-10-15,2011-12-31,DOMBÓVÁR VÁROS ÖRMÉNY KISEBBSÉGI ÖNKORMÁNYZATA
10054,2012-01-01,3999-12-31,DOMBÓVÁRI ÖRMÉNY NEMZETISÉGI ÖNKORMÁNYZAT
10055,2010-10-15,2011-12-31,NAGYKAMARÁS CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10055,2012-01-01,3999-12-31,NAGYKAMARÁS ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10056,2010-10-14,2011-12-31,NAGYKAMARÁS ROMÁN KISEBBSÉGI ÖNKORMÁNYZAT
10056,2012-01-01,3999-12-31,NAGYKAMARÁS ROMÁN NEMZETISÉGI ÖNKORMÁNYZAT
10057,2010-10-18,2012-02-29,BÓKAHÁZA HELYI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10057,2012-03-01,3999-12-31,BÓKAHÁZA KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10058,2010-10-18,2012-02-29,ESZTERGÁLYHORVÁTI HELYI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10058,2012-03-01,3999-12-31,ESZTERGÁLYHORVÁTI KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10059,2007-10-20,2011-03-23,KOMÁROM-ESZTERGOM MEGYEI TERÜLETI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10059,2011-03-24,2012-02-19,KOMÁROM-ESZTERGOM MEGYEI CIGÁNY TERÜLETI KISEBBSÉGI ÖNKORMÁNYZAT
10059,2012-02-20,3999-12-31,KOMÁROM-ESZTERGOM MEGYEI TERÜLETI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1006,2007-10-20,2009-06-30,ÖTTEVÉNY KÖZSÉG ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA
1006,2009-07-01,3999-12-31,ÖTTEVÉNY KÖZSÉG ÖNKORMÁNYZATÁNAK POLGÁRMESTERI HIVATALA
10060,2010-10-03,2012-01-25,SZENDEHELY CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10060,2012-01-26,3999-12-31,SZENDEHELYI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10061,2010-10-13,2012-02-19,TÁRKÁNY KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10061,2012-02-20,3999-12-31,TÁRKÁNY KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10062,2010-11-29,3999-12-31,DOMASZÉK-RÖSZKE SZENNYVÍZTISZTÍTÓ FEJLESZTÉSI TÁRSULÁS
10063,2010-10-03,2012-01-24,HERENCSÉNY CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10063,2012-01-25,3999-12-31,HERENCSÉNY ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10064,2010-10-03,2012-01-29,EGYHÁZASGERGE CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10064,2012-01-30,3999-12-31,EGYHÁZASGERGE ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10065,2010-10-03,2012-07-12,CSÉCSE KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10065,2012-07-13,3999-12-31,CSÉCSE KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10066,2010-10-18,2012-02-23,ROZSÁLY KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10066,2012-02-24,3999-12-31,ROZSÁLY KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10067,2010-10-14,2011-12-31,GYÖNGYÖSMELLÉK CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10067,2012-01-01,3999-12-31,GYÖNGYÖSMELLÉK ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10068,2010-10-14,2012-04-17,VÁMOSOROSZI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10068,2012-04-18,3999-12-31,VÁMOSOROSZI CIGÁNY NEMZETISÉGI ÖNKORMÁNYZAT
10069,2010-10-13,2011-12-31,KÉTÚJFALU CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10069,2012-01-01,3999-12-31,KÉTÚJFALU ROMA NEMZETISÉGI ÖNKORMÁNYZAT
1007,2007-10-20,3999-12-31,PÁZMÁNDFALU KÖZSÉG ÖNKORMÁNYZATA
10070,2010-10-15,2011-12-31,ZÁDOR CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10070,2012-01-01,3999-12-31,ZÁDOR ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10071,2010-10-17,2012-01-31,RÓZSAFAI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10071,2012-02-01,3999-12-31,RÓZSAFAI CIGÁNY NEMZETISÉGI ÖNKORMÁNYZAT
10072,2010-10-14,2011-12-31,BIHARTORDA CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10072,2012-01-01,3999-12-31,BIHARTORDA ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10073,2010-10-18,2011-12-31,NAGYKEREKI CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10073,2012-01-01,3999-12-31,NAGYKEREKI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10074,2010-10-07,2011-12-31,PARASZNYA KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZATA
10074,2012-01-01,3999-12-31,PARASZNYA KÖZSÉG ROMA NEMZETISÉGI ÖNKORMÁNYZATA
10075,2010-10-13,2011-12-31,TAKTAHARKÁNY KÖZSÉG CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10075,2012-01-01,3999-12-31,TAKTAHARKÁNYI ROMA NEMZETISÉGI ÖNKORMÁNYZAT
