TZSAZON_ID,PIR,STATUSZ,VIZSGDATUM,VIZSGDATUMTOL,XMLDATUM
1,300014,H,2013-11-15,2013-11-15,2013-11-15
10,300333,H,2013-11-15,2013-11-15,2013-11-15
100,311443,H,2013-11-15,2013-11-15,2013-11-15
1000,366641,H,2013-11-15,2013-11-15,2013-11-15
10000,787198,H,2013-11-15,2013-11-15,2013-11-15
10001,787208,H,2013-11-15,2013-11-15,2013-11-15
10002,787219,H,2013-11-15,2013-11-15,2013-11-15
10003,787220,H,2013-11-15,2013-11-15,2013-11-15
10004,787231,H,2013-11-15,2013-11-15,2013-11-15
10005,787242,H,2013-11-15,2013-11-15,2013-11-15
10006,787264,H,2013-11-15,2013-11-15,2013-11-15
10007,787286,H,2013-11-15,2013-11-15,2013-11-15
10008,787297,H,2013-11-15,2013-11-15,2013-11-15
10009,787307,H,2013-11-15,2013-11-15,2013-11-15
1001,366674,H,2013-11-15,2013-11-15,2013-11-15
10010,787318,H,2013-11-15,2013-11-15,2013-11-15
10011,787329,H,2013-11-15,2013-11-15,2013-11-15
10012,787330,H,2013-11-15,2013-11-15,2013-11-15
10013,787341,H,2013-11-15,2013-11-15,2013-11-15
10014,787352,H,2013-11-15,2013-11-15,2013-11-15
10015,787363,H,2013-11-15,2013-11-15,2013-11-15
10016,787374,H,2013-11-15,2013-11-15,2013-11-15
10017,787396,H,2013-11-15,2013-11-15,2013-11-15
10018,787406,H,2013-11-15,2013-11-15,2013-11-15
10019,787417,H,2013-11-15,2013-11-15,2013-11-15
1002,366685,H,2013-11-15,2013-11-15,2013-11-15
10020,787428,H,2013-11-15,2013-11-15,2013-11-15
10021,787439,H,2013-11-15,2013-11-15,2013-11-15
10022,787440,H,2013-11-15,2013-11-15,2013-11-15
10023,787451,H,2013-11-15,2013-11-15,2013-11-15
10024,787462,H,2013-11-15,2013-11-15,2013-11-15
10025,787473,H,2013-11-15,2013-11-15,2013-11-15
10026,787484,H,2013-11-15,2013-11-15,2013-11-15
10027,787495,H,2013-11-15,2013-11-15,2013-11-15
10028,787505,H,2013-11-15,2013-11-15,2013-11-15
10029,787516,H,2013-11-15,2013-11-15,2013-11-15
1003,366696,H,2013-11-15,2013-11-15,2013-11-15
10030,787527,H,2013-11-15,2013-11-15,2013-11-15
10031,787538,H,2013-11-15,2013-11-15,2013-11-15
10032,787549,H,2013-11-15,2013-11-15,2013-11-15
10033,787550,H,2013-11-15,2013-11-15,2013-11-15
10034,787561,H,2013-11-15,2013-11-15,2013-11-15
10035,787572,H,2013-11-15,2013-11-15,2013-11-15
10036,787583,H,2013-11-15,2013-11-15,2013-11-15
10037,787594,H,2013-11-15,2013-11-15,2013-11-15
10038,787615,H,2013-11-15,2013-11-15,2013-11-15
10039,787626,H,2013-11-15,2013-11-15,2013-11-15
1004,366706,H,2013-11-15,2013-11-15,2013-11-15
10040,787648,H,2013-11-15,2013-11-15,2013-11-15
10041,787660,H,2013-11-15,2013-11-15,2013-11-15
10042,787671,H,2013-11-15,2013-11-15,2013-11-15
10043,787682,H,2013-11-15,2013-11-15,2013-11-15
10044,787693,H,2013-11-15,2013-11-15,2013-11-15
10045,787714,H,2013-11-15,2013-11-15,2013-11-15
10046,787725,H,2013-11-15,2013-11-15,2013-11-15
10047,787736,H,2013-11-15,2013-11-15,2013-11-15
10048,787747,H,2013-11-15,2013-11-15,2013-11-15
10049,787758,H,2013-11-15,2013-11-15,2013-11-15
1005,366717,H,2013-11-15,2013-11-15,2013-11-15
10050,787769,H,2013-11-15,2013-11-15,2013-11-15
10051,787770,H,2013-11-15,2013-11-15,2013-11-15
10052,787781,H,2013-11-15,2013-11-15,2013-11-15
10053,787792,H,2013-11-15,2013-11-15,2013-11-15
10054,787802,H,2013-11-15,2013-11-15,2013-11-15
10055,787835,H,2013-11-15,2013-11-15,2013-11-15
10056,787846,H,2013-11-15,2013-11-15,2013-11-15
10057,787868,H,2013-11-15,2013-11-15,2013-11-15
10058,787879,H,2013-11-15,2013-11-15,2013-11-15
10059,787880,H,2013-11-15,2013-11-15,2013-11-15
1006,366728,H,2013-11-15,2013-11-15,2013-11-15
10060,787891,H,2013-11-15,2013-11-15,2013-11-15
10061,787901,H,2013-11-15,2013-11-15,2013-11-15
10062,787912,H,2013-11-15,2013-11-15,2013-11-15
10063,787923,H,2013-11-15,2013-11-15,2013-11-15
10064,787934,H,2013-11-15,2013-11-15,2013-11-15
10065,787945,H,2013-11-15,2013-11-15,2013-11-15
10066,787956,H,2013-11-15,2013-11-15,2013-11-15
10067,787967,H,2013-11-15,2013-11-15,2013-11-15
10068,787978,H,2013-11-15,2013-11-15,2013-11-15
10069,787989,H,2013-11-15,2013-11-15,2013-11-15
1007,366739,H,2013-11-15,2013-11-15,2013-11-15
10070,787990,H,2013-11-15,2013-11-15,2013-11-15
10071,788007,H,2013-11-15,2013-11-15,2013-11-15
10072,788018,H,2013-11-15,2013-11-15,2013-11-15
10073,788029,H,2013-11-15,2013-11-15,2013-11-15
10074,788030,H,2013-11-15,2013-11-15,2013-11-15
10075,788041,H,2013-11-15,2013-11-15,2013-11-15
10076,788052,H,2013-11-15,2013-11-15,2013-11-15
10077,788074,H,2013-11-15,2013-11-15,2013-11-15
10078,788085,H,2013-11-15,2013-11-15,2013-11-15
10079,788096,H,2013-11-15,2013-11-15,2013-11-15
1008,366751,H,2013-11-15,2013-11-15,2013-11-15
10080,788106,H,2013-11-15,2013-11-15,2013-11-15
10081,788117,H,2013-11-15,2013-11-15,2013-11-15
10082,788128,H,2013-11-15,2013-11-15,2013-11-15
10083,788139,H,2013-11-15,2013-11-15,2013-11-15
10084,788140,H,2013-11-15,2013-11-15,2013-11-15
10085,788151,H,2013-11-15,2013-11-15,2013-11-15
10086,788162,H,2013-11-15,2013-11-15,2013-11-15
10087,788173,H,2013-11-15,2013-11-15,2013-11-15
10088,788184,H,2013-11-15,2013-11-15,2013-11-15
10089,788195,H,2013-11-15,2013-11-15,2013-11-15
1009,366762,H,2013-11-15,2013-11-15,2013-11-15
10090,788205,H,2013-11-15,2013-11-15,2013-11-15
10091,788216,H,2013-11-15,2013-11-15,2013-11-15
10092,788227,H,2013-11-15,2013-11-15,2013-11-15
10093,788250,H,2013-11-15,2013-11-15,2013-11-15
10094,788261,H,2013-11-15,2013-11-15,2013-11-15
10095,788272,H,2013-11-15,2013-11-15,2013-11-15
10096,788304,H,2013-11-15,2013-11-15,2013-11-15
10097,788315,H,2013-11-15,2013-11-15,2013-11-15
10098,788326,H,2013-11-15,2013-11-15,2013-11-15
10099,788337,H,2013-11-15,2013-11-15,2013-11-15
101,311454,H,2013-11-15,2013-11-15,2013-11-15
1010,366795,H,2013-11-15,2013-11-15,2013-11-15
10100,788348,H,2013-11-15,2013-11-15,2013-11-15
10101,788359,H,2013-11-15,2013-11-15,2013-11-15
10102,788360,H,2013-11-15,2013-11-15,2013-11-15
10103,788371,H,2013-11-15,2013-11-15,2013-11-15
10104,788382,H,2013-11-15,2013-11-15,2013-11-15
10105,788393,H,2013-11-15,2013-11-15,2013-11-15
10106,788403,H,2013-11-15,2013-11-15,2013-11-15
10107,788436,H,2013-11-15,2013-11-15,2013-11-15
10108,788447,H,2013-11-15,2013-11-15,2013-11-15
10109,788458,H,2013-11-15,2013-11-15,2013-11-15
1011,366883,H,2013-11-15,2013-11-15,2013-11-15
10110,788469,H,2013-11-15,2013-11-15,2013-11-15
10111,788470,H,2013-11-15,2013-11-15,2013-11-15
10112,788481,H,2013-11-15,2013-11-15,2013-11-15
10113,788492,H,2013-11-15,2013-11-15,2013-11-15
10114,788502,H,2013-11-15,2013-11-15,2013-11-15
10115,788513,H,2013-11-15,2013-11-15,2013-11-15
10116,788524,H,2013-11-15,2013-11-15,2013-11-15
10117,788535,H,2013-11-15,2013-11-15,2013-11-15
10118,788546,H,2013-11-15,2013-11-15,2013-11-15
10119,788557,H,2013-11-15,2013-11-15,2013-11-15
1012,366894,H,2013-11-15,2013-11-15,2013-11-15
10120,788568,H,2013-11-15,2013-11-15,2013-11-15
10121,788579,H,2013-11-15,2013-11-15,2013-11-15
10122,788580,H,2013-11-15,2013-11-15,2013-11-15
10123,788591,H,2013-11-15,2013-11-15,2013-11-15
10124,788612,H,2013-11-15,2013-11-15,2013-11-15
10125,788623,H,2013-11-15,2013-11-15,2013-11-15
10126,788634,H,2013-11-15,2013-11-15,2013-11-15
