TZSAZON_ID,HATKEZD,HATVEGE,NEV
1,2007-10-20,2012-12-31,Bakos Emil
1,2013-01-01,3999-12-31,dr. Such György
10,2007-10-20,2008-05-14,Pálfy Péter Pál
10,2008-05-15,3999-12-31,Dr. Pálfy Péter Pál
100,2007-10-20,2010-10-14,Dr. Kántorné Dr. Burus Zsuzsanna
100,2010-10-15,2012-06-30,Dr. Kántor András Richárdné
100,2012-07-01,2013-02-14,Dr. Csorba Zsolt Ödön
100,2013-02-15,3999-12-31,Dr. Csorba Zsolt Ödön
1000,2008-07-01,2011-03-30,dr. Tarjányi Tamás
1000,2011-03-31,2011-04-17,Takács Gyöngyi
1000,2011-04-18,2011-05-31,Szalainé dr. Németh Annamária
1000,2011-06-01,2011-08-31,Szalainé Dr. Németh Annamária
1000,2011-09-01,2012-02-15,Dr. Tóth István
1000,2012-02-16,2012-07-15,Szalainé Dr. Németh Annamária
1000,2012-07-16,3999-12-31,Dr. Egri Zsanett
10000,2010-10-14,3999-12-31,Pillmann József
10001,2010-10-18,3999-12-31,Sikk Józsefné
10002,2010-10-18,3999-12-31,Ilykó Andrea
10003,2010-10-18,2013-09-17,Németh Zoltán
10003,2013-09-18,3999-12-31,Horváth István
10004,2010-10-18,3999-12-31,dr. Alt Gyula
10005,2010-10-18,3999-12-31,Mandzurakisz Szarandisz
10006,2010-10-13,3999-12-31,Kóczé Péter
10007,2010-10-14,3999-12-31,Kertész Csaba
10008,2010-10-14,3999-12-31,Weszelovits Istvánné
10009,2010-10-12,3999-12-31,Balogh József
1001,2008-01-01,2008-12-31,Dömötör Judit
1001,2009-01-01,2010-10-02,Gergó András
1001,2010-10-03,3999-12-31,Németh Tamás
10010,2010-10-18,2011-04-25,Magyar Istvánné
10010,2011-04-26,3999-12-31,Horváth Rita
10011,2010-10-15,3999-12-31,Gulyás János
10012,2010-10-18,3999-12-31,Bogdánné Mogyorósi Katalin
10013,2010-10-13,3999-12-31,Lázi István János
10014,2010-10-15,3999-12-31,Gáspár Szilvia
10015,2010-10-13,3999-12-31,Kiss István
10016,2010-10-14,3999-12-31,Bogdán János
10017,2010-10-18,3999-12-31,Horváth Gyula
10018,2011-01-01,2011-09-30,Czikó Attila József
10018,2011-11-16,3999-12-31,Vajda Nikolett
10019,2010-10-18,3999-12-31,Németh Sándor
1002,2007-10-20,3999-12-31,Laki György
10020,2010-10-14,3999-12-31,Juhász Attila
